,ID,Title,Year,Star1,Star2,Star3,Star4,Star5
223,1954470,Gangs of Wasseypur,2012,Manoj Bajpayee,Richa Chadha,Nawazuddin Siddiqui,Tigmanshu Dhulia,Jameel Khan
224,0198781,"Monsters, Inc.",2001,John Goodman,Billy Crystal,Mary Gibbs,Steve Buscemi,James Coburn
225,0025316,It Happened One Night,1934,Clark Gable,Claudette Colbert,Walter Connolly,Roscoe Karns,Jameson Thomas
226,0169102,Lagaan: Once Upon a Time in India,2001,Aamir Khan,Gracy Singh,Rachel Shelley,Paul Blackthorne,Suhasini Mulay
227,0113247,La Haine,1995,Vincent Cassel,Hubert Koundé,Saïd Taghmaoui,Abdel Ahmed Ghili,Solo
228,4016934,The Handmaiden,2016,Min-hee Kim,Tae-ri Kim,Jung-woo Ha,Jin-woong Cho,Hae-sook Kim
229,0374887,Munna Bhai M.B.B.S.,2003,Sanjay Dutt,Arshad Warsi,Gracy Singh,Sunil Dutt,Boman Irani
230,0093779,The Princess Bride,1987,Cary Elwes,Mandy Patinkin,Chris Sarandon,Christopher Guest,Wallace Shawn
231,0056732,The Exterminating Angel,1962,Silvia Pinal,Jacqueline Andere,José Baviera,Augusto Benedico,Luis Beristáin
232,2338151,PK,2014,Aamir Khan,Anushka Sharma,Saurabh Shukla,Sanjay Dutt,Boman Irani
233,0367110,Swades,2004,Shah Rukh Khan,Gayatri Joshi,Kishori Ballal,Smit Sheth,Lekh Tandon
234,0064115,Butch Cassidy and the Sundance Kid,1969,Paul Newman,Robert Redford,Katharine Ross,Strother Martin,Henry Jones
235,1454029,The Help,2011,Emma Stone,Viola Davis,Bryce Dallas Howard,Octavia Spencer,Jessica Chastain
236,0381681,Before Sunset,2004,Ethan Hawke,Julie Delpy,Vernon Dobtcheff,Louise Lemoine Torrès,Rodolphe Pauly
237,4430212,Drishyam,2015,Tom Hanks,Tim Allen,Annie Potts,Tony Hale,Keegan-Michael Key
238,0094625,Akira,1988,Ajay Devgn,Shriya Saran,Tabu,Rajat Kapoor,Ishita Dutta
239,0088247,The Terminator,1984,Mitsuo Iwata,Nozomu Sasaki,Mami Koyama,Tesshô Genda,Hiroshi Ôtake
240,1979376,Toy Story 4,2019,Arnold Schwarzenegger,Michael Biehn,Linda Hamilton,Paul Winfield,Lance Henriksen
241,0087884,"Paris, Texas",1984,Harry Dean Stanton,Nastassja Kinski,Dean Stockwell,Aurore Clément,Hunter Carson
242,0118694,In the Mood for Love,2000,Maggie Cheung,Tony Chiu-Wai Leung,Ping Lam Siu,Tung Cho 'Joe' Cheung,Rebecca Pan
243,2015381,Guardians of the Galaxy,2014,Chris Pratt,Zoe Saldana,Dave Bautista,Vin Diesel,Bradley Cooper
244,0338564,Infernal Affairs,2002,Andy Lau,Tony Chiu-Wai Leung,Anthony Chau-Sang Wong,Eric Tsang,Kelly Chen
245,0058946,The Battle of Algiers,1966,Jean Martin,Yacef Saadi,Brahim Hadjadj,Tommaso Neri,Samia Kerbash
246,0103639,Aladdin,1992,Scott Weinger,Robin Williams,Linda Larkin,Jonathan Freeman,Frank Welker
247,1280558,A Wednesday,2008,Anupam Kher,Naseeruddin Shah,Jimmy Sheirgill,Deepal Shaw,Aamir Bashir
248,0120731,The Legend of 1900,1998,Tim Roth,Pruitt Taylor Vince,Mélanie Thierry,Bill Nunn,Clarence Williams III
249,2758880,Winter Sleep,2014,Haluk Bilginer,Melisa Sözen,Demet Akbag,Ayberk Pekcan,Serhat Mustafa Kiliç
