,ID,Title,Year,Star1,Star2,Star3,Star4,Star5
50,0095765,Cinema Paradiso,1988,Antonella Attili,Enzo Cannavale,Isa Danieli,Leo Gullotta,Marco Leonardi
51,0082971,Raiders of the Lost Ark,1981,Harrison Ford,Karen Allen,Paul Freeman,Ronald Lacey,John Rhys-Davies
52,0078748,Alien,1979,Tom Skerritt,Sigourney Weaver,Veronica Cartwright,Harry Dean Stanton,John Hurt
53,0209144,Memento,2000,Guy Pearce,Carrie-Anne Moss,Joe Pantoliano,Mark Boone Junior,Russ Fega
54,0078788,Apocalypse Now,1979,Marlon Brando,Martin Sheen,Robert Duvall,Frederic Forrest,Sam Bottoms
55,0032553,The Great Dictator,1940,Charles Chaplin,Jack Oakie,Reginald Gardiner,Henry Daniell,Billy Gilbert
56,0405094,The Lives of Others,2006,Martina Gedeck,Ulrich Mühe,Sebastian Koch,Ulrich Tukur,Thomas Thieme
57,4154756,Avengers: Infinity War,2018,Robert Downey Jr.,Chris Hemsworth,Mark Ruffalo,Chris Evans,Scarlett Johansson
58,1853728,Django Unchained,2012,Jamie Foxx,Christoph Waltz,Leonardo DiCaprio,Kerry Washington,Samuel L. Jackson
59,4633694,Spider-Man: Into the Spider-Verse,2018,Shameik Moore,Jake Johnson,Hailee Steinfeld,Mahershala Ali,Brian Tyree Henry
60,0081505,The Shining,1980,Kirk Douglas,Ralph Meeker,Adolphe Menjou,George Macready,Wayne Morris
61,0050825,Paths of Glory,1957,Jack Nicholson,Shelley Duvall,Danny Lloyd,Scatman Crothers,Barry Nelson
62,0910970,WALL·E,2008,Ben Burtt,Elissa Knight,Jeff Garlin,Fred Willard,MacInTalk
63,0043014,Sunset Blvd.,1950,William Holden,Gloria Swanson,Erich von Stroheim,Nancy Olson,Fred Clark
64,0057012,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964,Peter Sellers,George C. Scott,Sterling Hayden,Keenan Wynn,Slim Pickens
65,0119698,Princess Mononoke,1997,Billy Crudup,Billy Bob Thornton,Minnie Driver,John DiMaggio,Claire Danes
66,0364569,Oldboy,2003,Min-sik Choi,Ji-tae Yu,Hye-jeong Kang,Dae-han Ji,Dal-su Oh
67,0051201,Witness for the Prosecution,1957,Tyrone Power,Marlene Dietrich,Charles Laughton,Elsa Lanchester,John Williams
